Zip,Avg # of Crimes per School
10001,2.111111111111111
10002,4.460869565217391
10003,4.5
10004,7.055555555555555
10006,17.833333333333332
10007,0.8333333333333334
10009,1.794871794871795
10010,3.380952380952381
10011,5.25
10013,2.4
10014,2.3333333333333335
10016,3.9047619047619047
10019,6.888888888888889
10021,4.666666666666667
10022,6.444444444444445
10023,7.555555555555555
10024,3.6458333333333335
10025,3.3333333333333335
10026,5.461538461538462
10027,3.3582089552238807
10028,0.6666666666666666
10029,3.4864864864864864
10030,6.9
10031,6.806451612903226
10032,2.880952380952381
10033,2.1944444444444446
10034,1.457142857142857
10035,3.315068493150685
10036,6.611111111111111
10037,2.375
10038,7.041666666666667
10039,8.777777777777779
10040,4.604651162790698
10044,0.6666666666666666
10065,1.4166666666666667
10075,0.8571428571428571
10128,4.958333333333333
10280,0.6666666666666666
10282,1.5833333333333333
10301,9.674418604651162
10302,21.583333333333332
10303,4.833333333333333
10304,5.125
10305,2.9166666666666665
10306,8.88888888888889
10307,2.2222222222222223
10308,2.2666666666666666
10309,9.533333333333333
10310,9.583333333333334
10312,7.3
10314,5.857142857142857
10451,6.306818181818182
10452,1.2444444444444445
10453,2.533333333333333
10454,2.5686274509803924
10455,4.066666666666666
10456,5.355421686746988
10457,4.922535211267606
10458,4.064935064935065
10459,5.875
10460,5.288659793814433
10461,7.564102564102564
10462,3.7222222222222223
10463,6.8428571428571425
10464,0.6666666666666666
10465,1.2666666666666666
10466,4.468085106382978
10467,7.7317073170731705
10468,8.757575757575758
10469,6.25531914893617
10470,1.5
10471,2.0
10472,4.75
10473,6.325
10474,5.083333333333333
10475,5.659090909090909
11001,0.3333333333333333
11004,2.111111111111111
11101,3.1724137931034484
11102,0.8181818181818182
11103,13.666666666666666
11104,1.125
11105,1.75
11106,4.413793103448276
11109,0.3333333333333333
11201,4.776315789473684
11203,5.022222222222222
11204,2.388059701492537
11205,3.1147540983606556
11206,3.207547169811321
11207,4.068702290076335
11208,4.816326530612245
11209,5.571428571428571
11210,4.027777777777778
11211,7.046875
11212,4.015748031496063
11213,3.675324675324675
11214,4.36
11215,2.6956521739130435
11216,2.795918367346939
11217,5.7631578947368425
11218,1.5555555555555556
11219,1.25
11220,3.3333333333333335
11221,3.3916666666666666
11222,2.8181818181818183
11223,6.083333333333333
11224,3.2142857142857144
11225,8.375
11226,3.606060606060606
11228,1.6666666666666667
11229,9.916666666666666
11230,8.583333333333334
11231,2.6666666666666665
11232,5.379310344827586
11233,3.4523809523809526
11234,2.2333333333333334
11235,6.083333333333333
11236,4.75
11237,5.0
11238,2.94
11239,1.9285714285714286
11249,4.333333333333333
11354,4.181818181818182
11355,1.5454545454545454
11356,0.16666666666666666
11357,1.4666666666666666
11358,1.6
11360,0.2222222222222222
11361,4.888888888888889
11362,1.2222222222222223
11363,0.0
11364,5.833333333333333
11365,4.083333333333333
11366,3.8333333333333335
11367,10.708333333333334
11368,1.7777777777777777
11369,2.3333333333333335
11370,0.6666666666666666
11372,1.8095238095238095
11373,2.392156862745098
11374,1.0
11375,3.696969696969697
11377,1.8888888888888888
11378,2.076923076923077
11379,0.8888888888888888
11385,3.8292682926829267
11411,4.1923076923076925
11412,4.190476190476191
11413,4.1875
11414,0.8888888888888888
11415,0.6666666666666666
11416,6.545454545454546
11417,8.275862068965518
11418,3.5
11419,1.1666666666666667
11420,2.7586206896551726
11421,0.1111111111111111
11422,2.3333333333333335
11423,5.75
11426,1.6666666666666667
11427,10.76923076923077
11428,4.777777777777778
11429,1.0
11432,6.2
11433,2.161290322580645
11434,5.511627906976744
11435,2.35
11436,6.636363636363637
11691,3.82
11692,7.666666666666667
11693,3.6666666666666665
11694,5.535714285714286
